id,name,website,isEEP,exactMatch,industry,numberOfRatings,squareLogo,overallRating,ratingDescription,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating,recommendToFriendRating,sectorId,sectorName,industryId,industryName,featuredReview.attributionURL,featuredReview.id,featuredReview.currentJob,featuredReview.reviewDateTime,featuredReview.jobTitle,featuredReview.location,featuredReview.jobTitleFromDb,featuredReview.headline,featuredReview.pros,featuredReview.cons,featuredReview.overall,featuredReview.overallNumeric,ceo.name,ceo.title,ceo.numberOfRatings,ceo.pctApprove,ceo.pctDisapprove,ceo.image.src,ceo.image.height,ceo.image.width,parentEmployer,parentEmployer.id,parentEmployer.name,parentEmployer.relationshipDate,parentEmployer.relationship,parentEmployer.isSunset,parentEmployer.sunsetMessage,parentEmployer.logo.normalUrl,parentEmployer.logo.mediumUrl,parentEmployer.logo.smallUrl
13461,Tata Consultancy Services,www.tcs.com,FALSE,FALSE,Computer Hardware & Software,25197,https://media.glassdoor.com/sqll/13461/tata-consultancy-services-squarelogo.png,3.5,Satisfied,3.6,2.8,2.9,3.3,3.5,72,10013,Information Technology,200060,Computer Hardware & Software,https://www.glassdoor.com/Reviews/Employee-Review-Tata-Consultancy-Services-RVW16185152.htm,16185152,TRUE,2017-08-02 12:48:13,Web Applications Developer,Bengaluru (India),Web Applications Developer,Its good to be here,"Growth in learning new technologies, Friendly Atmosphere,","Less Salary even though you worth it, low hikes and ratings are not given properly according to your work.",5,5,Natarajan Chandrasekaran,CEO & Managing Director,12640,90,10,https://media.glassdoor.com/people/sqll/13461/tata-consultancy-services-natarajan-chandrasekaran.png,200,200,,,,,,,,,,
21395,Brigham Young University (BYU),www.byu.edu,FALSE,FALSE,Colleges & Universities,1446,https://media.glassdoor.com/sqll/21395/brigham-young-university-byu-squarelogo.png,4.5,Very Satisfied,4.6,4.1,3.3,3.4,4.4,95,10009,Education,200044,Colleges & Universities,https://www.glassdoor.com/Reviews/Employee-Review-Brigham-Young-University-BYU-RVW16672565.htm,16672565,TRUE,2017-09-05 11:57:42,Student Web Developer,"Provo, UT",Student Web Developer,Great,They focus first on your school work and try to work around your schedule,Could be paid much more off campus.,5,5,Kevin J. Worthen,President,426,99,1,,,,,,,,,,,,,
150678,Globant,www.globant.com,FALSE,FALSE,IT Services,482,https://media.glassdoor.com/sqll/150678/globant-squarelogo-1410790206374.png,3.5,Satisfied,3.5,3.1,3.1,3.3,3.8,72,10013,Information Technology,200064,IT Services,https://www.glassdoor.com/Reviews/Employee-Review-Globant-RVW15003000.htm,15003000,TRUE,2017-05-10 11:45:37,UI Web Developer,"Bogotá, Bogota (Colombia)",UI Web Developer,Good company,"- Nice and comfortable facilities
- Talented people
- Good Salary","- Increase policy is not so good
- Sometimes is disorganized
- Some projects are a complete mess",4,4,Martin Migoya,President,275,76,24,https://media.glassdoor.com/people/sqll/150678/globant-ceo1501853843504.png,200,200,,,,,,,,,,
152783,Insight Global,www.insightglobal.com,FALSE,FALSE,Staffing & Outsourcing,5617,https://media.glassdoor.com/sqll/152783/insight-global-squarelogo-1446498928830.png,4.3,Very Satisfied,4.3,4.2,4,4.4,4.1,86,10006,Business Services,200032,Staffing & Outsourcing,https://www.glassdoor.com/Reviews/Employee-Review-Insight-Global-RVW15495340.htm,15495340,TRUE,2017-06-15 17:43:18,Senior Web Developer,"Miami Gardens, FL",Senior Web Developer,Simply the best,"Great recruiting agency, with  awesome recruiters with great attitude !!! they are professionals and get answers quick. I was constantly being updated on  the next steps and provided guidance on the way forward.",So far I have not found any yet,5,5,Glenn Johnson,CEO,2431,93,7,https://media.glassdoor.com/people/sqll/152783/insight-global-glenn-johnson.png,200,200,,,,,,,,,,
34865,LinkedIn,www.linkedin.com,FALSE,FALSE,Internet,1988,https://media.glassdoor.com/sqll/34865/linkedin-squarelogo-1462308283451.png,4.3,Very Satisfied,4.4,3.9,4.3,3.9,4.2,86,10013,Information Technology,200063,Internet,https://www.glassdoor.com/Reviews/Employee-Review-LinkedIn-RVW11937138.htm,11937138,TRUE,2016-09-14 22:11:00,Software Engineer (Former Web Developer),"Mountain View, CA",Software Engineer (Former Web Developer),Great workplace overall,"- Use of latest technology in building products is great
- Great perks and benefits","- Very fast paced, hence the need to work till late or on weekends on a regular basis
- Couple of weak managers who are unable to inspire, mentor or develop careers",4,4,Jeff Weiner,CEO,1662,97,3,https://media.glassdoor.com/people/sqll/34865/linkedin-jeff-weiner.png,200,200,,1651,Microsoft,,SUBSIDIARYOF,FALSE,,https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png,https://media.glassdoor.com/sqlm/1651/microsoft-squarelogo-1479856042252.png,https://media.glassdoor.com/sqls/1651/microsoft-squarelogo-1479856042252.png
8876,Wells Fargo,www.wellsfargo.com,TRUE,FALSE,,17349,https://media.glassdoor.com/sqll/8876/wells-fargo-squarelogo.png,3.5,Satisfied,3.5,3,3.5,3.5,3.5,67,,,,,https://www.glassdoor.com/Reviews/Employee-Review-Wells-Fargo-RVW16832024.htm,16832024,TRUE,2017-09-14 13:54:25,Web Developer IV,"Chandler, AZ",Web Developer IV,Great Stable Company,"Wells Fargo embraces the remote work environment. Great benefits, plenty of time off. Lots of innovative programs.",I cannot really think of any cons to working for wells fargo. Other than people constantly asking you banking questions.,5,5,Timothy J. Sloan,CEO,1143,81,19,https://media.glassdoor.com/people/sqll/8876/wells-fargo-ceo1477662492147.png,200,200,,,,,,,,,,
354,IBM,www.ibm.com,TRUE,FALSE,,32243,https://media.glassdoor.com/sqll/354/ibm-squarelogo-1502810404854.png,3.5,Satisfied,3.4,2.9,3.1,3.4,3.6,63,,,,,https://www.glassdoor.com/Reviews/Employee-Review-IBM-RVW16471325.htm,16471325,FALSE,2017-08-22 8:41:24,.NET Web Applications Developer,"Washington, DC",.NET Web Applications Developer,"AppDev GBS (PubSec) - Some things were good, other weren't... harder to tolerate the bad things as time goes on.","1. Work from Home and Employees are encouraged to manage their own time for Work-Life balance (depending on assigned project and team).
2.  Learning resources are easily available (and company encourage learning - it's part of the annual employee evaluation).
3.  Partnership with Apple provide employees with selection of work related hardware (Mac, iPhone or IBM's Lenovo) and support.
4. Plenty of Senior colleagues that can mentor and provide guidance.
5. Standard Benefits Package: VAC/SIC (full from day 1), ESPP, 401k, Health Plan with HSA employer contributions (Medical, Drugs, Dental and Vision), Life Insurance, Disability, Employee discounts.","1. Difficult to keep a work-life balance as management keeps pushing for increased utilization time (Ex. for 2016, my role was assigned a  minimum 100% year-end utilization goal). A typical employee will exceed the goal as, depending on assigned project and role, workload is around 10-15 hours per day - including some weekends.
2. Performance review is highly subjective. The team that review your performance (and therefore recommends your salary revisions and promotions) is not the same group that works with you on a daily basis. Even your manager (SAM) might not know the details about your work (the SAM might not even know who you are or even met you in person).
3. Salary increases (revisions) and bonuses are never guaranteed even with excellent performance reviews (1=best, 3=worst). (Ex. I worked here for three years, was considered a ""rock star"" employee but never received a raise, last year bonus was $850 while having PBC ratings of 1 on all years and exceeding my utilization goals in 20%-30% above the mark).
4. Combination of Health Plan Premium + Contributions + Commuting (non-reimbursable) expenses will take a big piece of each paycheck (depending on where you live+work) - all needed just to go to work.",3,3,Virginia Rometty,CEO,11977,62,38,https://media.glassdoor.com/people/sqll/354/ibm-virginia-rometty.png,200,200,,,,,,,,,,
993959,Upwork,www.upwork.com,TRUE,FALSE,Staffing & Outsourcing,534,https://media.glassdoor.com/sqll/993959/upwork-squarelogo-1431035132264.png,3.4,OK,3.2,2.9,2.9,3.3,3.7,64,10006,Business Services,200032,Staffing & Outsourcing,https://www.glassdoor.com/Reviews/Employee-Review-Upwork-RVW16650313.htm,16650313,FALSE,2017-09-04 0:11:08,Mobile Web Developer,,Mobile Web Developer,Worst Service for Freelancers,"Only +ve things about Upwork is that it was 'Elance'. 
You may get good projects easily on Upwork.","Elance service and terms were far better than the Upwork.  Upwork is a killer for Freelancers.  The automated filtering service will Terminate your account at any time. I had excellent projects going on with my client one night and next morning my account was HIJACKED on the ground that I have made ""20"" bids in 1 month which is not a good sign. Whereas I had an all time 5 star ratings from all clients. 

RIP.",1,1,Stephane Kasriel,CEO,239,61,39,https://media.glassdoor.com/people/sqll/993959/upwork-stephane-kasriel.png,190,190,,,,,,,,,,
392261,Freelancer,www.freelancer.com,FALSE,FALSE,Staffing & Outsourcing,556,https://media.glassdoor.com/sqll/392261/freelancer-squarelogo-1503383966970.png,3.6,Satisfied,3.5,3.4,3.2,3.4,3.6,67,10006,Business Services,200032,Staffing & Outsourcing,https://www.glassdoor.com/Reviews/Employee-Review-Freelancer-RVW16110915.htm,16110915,FALSE,2017-07-28 4:07:37,Web Developer,Pune (India),Web Developer,Great Experience,It's good to work as a freelancer until you get a job,Sometimes clients cause a lot of headache and stress,5,5,Matt Barrie,CEO,194,71,29,https://media.glassdoor.com/people/sqll/392261/freelancer-matt-barrie.png,200,200,,,,,,,,,,
9079,Google,www.google.com,FALSE,FALSE,Internet,7491,https://media.glassdoor.com/sqll/9079/google-squarelogo-1441130773284.png,4.4,Very Satisfied,4.4,3.9,4.4,4.1,4.1,91,10013,Information Technology,200063,Internet,https://www.glassdoor.com/Reviews/Employee-Review-Google-RVW14782519.htm,14782519,TRUE,2017-04-25 13:05:02,Web Development,Noida (India),Web Development,Awesome,"Google has everything that an employee would expect. 
Google offers some of the best paid parental leave for new parents. 
Google also offers a global education leave program, which enables employees to take leave of absence to pursue further education.",Google is supposed to be of the best place in the world to work. Its a career heaven .Googlers have some of the best perks and they are among the highest paid in the industry.,5,5,Sundar Pichai,CEO,1729,96,4,https://media.glassdoor.com/people/sqll/9079/google-sundar-pichai.png,200,200,,,,,,,,,,
